fid,new,SAMPLE_1,SAMPLE_1_2,SAMPLE_1_3,SAMPLE_1_4,SAMPLE_1_5,SAMPLE_1_6,SAMPLE_1_7,SAMPLE_1_8,SAMPLE_1_9,SAMPLE_1_10,SAMPLE_1_11
46,water,1344,1385,1606,1286,1230,1087,1087,1055,1014,1011,1008
47,water,1373,1449,1654,1311,1245,1084,1083,1059,1018,1024,1034
48,water,1347,1388,1601,1291,1242,1093,1092,1063,1014,1017,1017
49,water,1328,1359,1562,1270,1226,1082,1080,1048,1008,1013,1015
50,water,1341,1381,1601,1294,1236,1092,1090,1058,1007,1021,1015
51,water,1335,1380,1591,1293,1249,1089,1087,1061,1013,1021,1017
52,water,1327,1410,1643,1308,1246,1092,1092,1063,1016,1020,1021
53,water,1296,1341,1503,1321,1310,1126,1123,1083,1017,1025,1022
54,water,1351,1364,1524,1336,1358,1155,1158,1104,1035,1032,1025
55,water,1351,1392,1599,1319,1272,1104,1107,1072,1013,1026,1024
56,water,1343,1374,1551,1321,1289,1109,1106,1073,1027,1022,1025
57,water,1335,1361,1567,1277,1221,1090,1082,1057,1013,1015,1012
58,water,1319,1324,1441,1245,1229,1105,1102,1069,1025,1025,1023
59,water,1359,1379,1510,1287,1259,1131,1138,1102,1095,1050,1049
60,water,1364,1416,1649,1345,1286,1110,1115,1081,1035,1024,1020
61,water,1376,1428,1571,1351,1328,1148,1141,1106,1153,1057,1045
62,water,1334,1358,1528,1315,1297,1112,1114,1077,1030,1022,1020
63,field,1254,1277,1571,1401,1995,3821,4474,4826,4902,3374,2196
64,field,1290,1307,1601,1437,2072,3810,4411,4853,4856,3567,2293
65,field,1318,1330,1637,1400,2046,3918,4413,4705,4733,3323,2205
66,field,1275,1282,1573,1326,1975,4301,5194,5575,5600,3309,2080
67,field,1278,1284,1572,1364,1996,4104,4894,5312,5378,3359,2126
68,field,1280,1288,1602,1346,2030,4227,5020,5411,5449,3415,2128
69,field,1263,1277,1569,1384,2030,3892,4591,5045,5084,3452,2206
70,field,1310,1337,1619,1487,2104,3660,4196,4588,4671,3598,2380
71,field,1261,1256,1534,1326,1940,3855,4515,4903,4951,3317,2120
72,field,1260,1265,1523,1389,1969,3599,4238,4730,4786,3475,2224
73,field,1273,1288,1542,1396,1953,3511,4048,4416,4441,3368,2227
74,field,1278,1296,1615,1371,2052,4066,4708,5064,5120,3274,2086
75,field,1246,1267,1568,1326,2001,4102,4792,5151,5245,3201,2022
76,field,1280,1315,1701,1431,2281,4324,5007,5536,5575,3574,2281
77,field,1270,1270,1558,1312,1912,4033,4790,5086,5108,2836,1846
78,field,1297,1328,1643,1388,2109,4393,5128,5478,5525,3495,2227
79,field,1261,1275,1559,1346,1932,3957,4667,5040,5042,3420,2178
80,field,1269,1247,1520,1257,1838,4351,5354,5746,5735,3220,2003
81,field,1232,1229,1516,1288,1925,3976,4768,5255,5312,3154,2003
82,field,1270,1272,1522,1328,1914,3794,4487,4914,4922,3111,1999
83,field,1262,1269,1538,1332,1933,3888,4597,4991,5007,3335,2127
84,field,1262,1277,1562,1360,1954,3966,4715,5095,5154,3283,2096
85,field,1263,1284,1572,1388,2004,3845,4483,4915,4978,3474,2227
86,field,1266,1283,1534,1344,1760,4030,5210,5448,5487,2908,1873
87,field,1272,1276,1506,1393,1891,3251,3735,4219,4247,3468,2276
88,field,1381,1388,1702,1566,2200,3962,4552,4967,5050,3844,2515
89,field,1314,1282,1570,1362,1905,3898,4605,4982,5026,3280,2140
90,field,1234,1227,1464,1287,1690,3846,4974,5249,5284,2822,1820
91,field,1226,1216,1475,1275,1798,3789,4495,4854,4892,3074,1981
92,field,1285,1295,1618,1340,2051,4510,5339,5703,5761,3295,2079
